Navn;Stasjon;Tid(norsk normaltid);Høyeste vindkast (10 min)
E39 Stordabrua;SN48070;25.01.2022 19:30;5,9
E39 Stordabrua;SN48070;25.01.2022 19:40;7,4
E39 Stordabrua;SN48070;25.01.2022 19:50;8,2
E39 Stordabrua;SN48070;25.01.2022 20:00;9,7
E39 Stordabrua;SN48070;25.01.2022 20:10;11,2
E39 Stordabrua;SN48070;25.01.2022 20:20;11,2
E39 Stordabrua;SN48070;25.01.2022 20:30;11,2
E39 Stordabrua;SN48070;25.01.2022 20:40;11,2
E39 Stordabrua;SN48070;25.01.2022 20:50;10,2
E39 Stordabrua;SN48070;25.01.2022 21:00;10,2
E39 Stordabrua;SN48070;25.01.2022 21:10;8,4
E39 Stordabrua;SN48070;25.01.2022 21:20;9,2
E39 Stordabrua;SN48070;25.01.2022 21:30;9,2
E39 Stordabrua;SN48070;25.01.2022 21:40;9,2
E39 Stordabrua;SN48070;25.01.2022 21:50;11,8
E39 Stordabrua;SN48070;25.01.2022 22:00;11,8
E39 Stordabrua;SN48070;25.01.2022 22:10;12,2
E39 Stordabrua;SN48070;25.01.2022 22:20;12,2
E39 Stordabrua;SN48070;25.01.2022 22:30;10,4
E39 Stordabrua;SN48070;25.01.2022 22:40;10,4
E39 Stordabrua;SN48070;25.01.2022 22:50;10,7
E39 Stordabrua;SN48070;25.01.2022 23:00;10,7
E39 Stordabrua;SN48070;25.01.2022 23:10;12,5
E39 Stordabrua;SN48070;25.01.2022 23:20;12,5
E39 Stordabrua;SN48070;25.01.2022 23:30;11,9
E39 Stordabrua;SN48070;25.01.2022 23:40;10,7
E39 Stordabrua;SN48070;25.01.2022 23:50;10,4
E39 Stordabrua;SN48070;26.01.2022 00:00;10,5
E39 Stordabrua;SN48070;26.01.2022 00:10;11,1
E39 Stordabrua;SN48070;26.01.2022 00:20;11,1
E39 Stordabrua;SN48070;26.01.2022 00:30;12,8
E39 Stordabrua;SN48070;26.01.2022 00:40;12,8
E39 Stordabrua;SN48070;26.01.2022 00:50;12,2
E39 Stordabrua;SN48070;26.01.2022 01:00;12,2
E39 Stordabrua;SN48070;26.01.2022 01:10;12,3
E39 Stordabrua;SN48070;26.01.2022 01:20;12,3
E39 Stordabrua;SN48070;26.01.2022 01:30;12,5
E39 Stordabrua;SN48070;26.01.2022 01:40;12,5
E39 Stordabrua;SN48070;26.01.2022 01:50;12,5
E39 Stordabrua;SN48070;26.01.2022 02:00;11,7
E39 Stordabrua;SN48070;26.01.2022 02:10;11,7
E39 Stordabrua;SN48070;26.01.2022 02:20;11,1
E39 Stordabrua;SN48070;26.01.2022 02:30;14,1
E39 Stordabrua;SN48070;26.01.2022 02:40;14,1
E39 Stordabrua;SN48070;26.01.2022 02:50;13,4
E39 Stordabrua;SN48070;26.01.2022 03:00;15,3
E39 Stordabrua;SN48070;26.01.2022 03:10;15,3
E39 Stordabrua;SN48070;26.01.2022 03:20;15,3
E39 Stordabrua;SN48070;26.01.2022 03:30;13,7
E39 Stordabrua;SN48070;26.01.2022 03:40;11,5
E39 Stordabrua;SN48070;26.01.2022 03:50;12,9
E39 Stordabrua;SN48070;26.01.2022 04:00;12,9
E39 Stordabrua;SN48070;26.01.2022 04:10;20,6
E39 Stordabrua;SN48070;26.01.2022 04:20;20,6
E39 Stordabrua;SN48070;26.01.2022 04:30;14,3
E39 Stordabrua;SN48070;26.01.2022 04:40;10
E39 Stordabrua;SN48070;26.01.2022 04:50;10,8
E39 Stordabrua;SN48070;26.01.2022 05:00;10,7
E39 Stordabrua;SN48070;26.01.2022 05:10;10,7
E39 Stordabrua;SN48070;26.01.2022 05:20;10,7
E39 Stordabrua;SN48070;26.01.2022 05:30;10,4
E39 Stordabrua;SN48070;26.01.2022 05:40;10,7
E39 Stordabrua;SN48070;26.01.2022 05:50;11,8
E39 Stordabrua;SN48070;26.01.2022 06:00;11,8
E39 Stordabrua;SN48070;26.01.2022 06:10;12,5
E39 Stordabrua;SN48070;26.01.2022 06:20;12,5
E39 Stordabrua;SN48070;26.01.2022 06:30;13,4
